date,tmax,tmin,tavg
2026-02-01,27,14,-6.388888888888888
2026-02-02,35,21,-2.2222222222222223
2026-02-03,43,21,0
2026-02-04,39,30,1.3888888888888888
2026-02-05,35,20,-2.5
2026-02-06,33,18,-3.611111111111111
2026-02-07,34,17,-3.611111111111111
2026-02-08,25,14,-6.944444444444445
2026-02-09,34,15,-4.166666666666667
2026-02-10,46,29,3.0555555555555554
2026-02-11,48,36,5.555555555555555
2026-02-12,38,30,1.1111111111111112
2026-02-13,38,26,0
2026-02-14,57,26,5.277777777777778
2026-02-15,47,34,4.722222222222222
2026-02-16,46,36,5
2026-02-17,48,35,5.277777777777778
2026-02-18,51,36,6.388888888888888
2026-02-19,44,35,4.166666666666667
2026-02-20,54,37,7.5
2026-02-21,55,37,7.777777777777778
2026-02-22,40,33,2.5
2026-02-23,42,32,2.7777777777777777
2026-02-24,40,27,0.8333333333333333
2026-02-25,55,35,7.222222222222222
2026-02-26,51,38,6.944444444444445
2026-02-27,57,32,6.944444444444445
2026-02-28,65,36,10.277777777777777
2026-03-01,56,39,8.61111111111111
2026-03-02,39,31,1.6666666666666665
2026-03-03,43,32,3.0555555555555554
2026-03-04,52,43,8.61111111111111
2026-03-05,59,45,11.11111111111111
2026-03-06,51,44,8.61111111111111
2026-03-07,64,41,11.38888888888889
2026-03-08,76,52,17.77777777777778
2026-03-09,76,44,15.555555555555555
2026-03-10,84,47,18.61111111111111
2026-03-11,86,58,22.22222222222222
2026-03-12,78,33,13.055555555555555
2026-03-13,56,32,6.666666666666666
2026-03-14,61,48,12.5
2026-03-15,59,44,10.833333333333334
2026-03-16,69,38,11.944444444444445
2026-03-17,43,30,2.5
2026-03-18,41,27,1.1111111111111112
2026-03-19,57,36,8.055555555555555
2026-03-20,71,40,13.055555555555555
2026-03-21,71,49,15.555555555555555
2026-03-22,78,49,17.5
2026-03-23,68,40,12.222222222222221
2026-03-24,52,34,6.111111111111111
2026-03-25,61,40,10.277777777777777
2026-03-26,84,57,21.38888888888889
2026-03-27,67,35,10.555555555555555
2026-03-28,50,33,5.277777777777778
2026-03-29,62,46,12.222222222222221
2026-03-30,73,54,17.5
2026-03-31,79,60,20.833333333333332
2026-04-01,79,62,21.38888888888889
2026-04-02,82,53,19.72222222222222
2026-04-03,81,60,21.38888888888889
2026-04-04,71,52,16.38888888888889
2026-04-05,82,53,19.72222222222222
2026-04-06,81,60,21.38888888888889
2026-04-07,71,52,16.38888888888889
2026-04-08,74,55,18.055555555555554
2026-04-09,70,49,15.277777777777777
2026-04-10,66,50,14.444444444444445
2026-04-11,64,44,12.222222222222221
2026-04-12,59,44,10.833333333333334
2026-04-13,69,48,14.722222222222221
2026-04-14,63,40,10.833333333333334
2026-04-15,60,45,11.38888888888889
2026-04-16,70,51,15.833333333333332
2026-04-17,72,52,16.666666666666668
2026-04-18,71,53,16.666666666666668
2026-04-19,71,52,16.38888888888889
2026-04-20,72,51,16.38888888888889
2026-04-21,66,48,13.88888888888889
2026-04-22,62,47,12.5
2026-04-23,63,47,12.777777777777777
2026-04-24,64,48,13.333333333333332
2026-04-25,63,48,13.055555555555555
2026-04-26,64,49,13.61111111111111
2026-04-27,64,46,12.777777777777777
2026-04-28,65,44,12.5
2026-04-29,65,50,14.166666666666666
2026-04-30,66,53,15.277777777777777
2026-05-01,74,55,18.055555555555554
2026-05-02,77,57,19.444444444444443
2026-05-03,76,57,19.166666666666668
2026-05-04,78,56,19.444444444444443
2026-05-05,73,49,16.11111111111111
