date,tmax,tmin,tavg
2026-02-01,27,14,-6.388888888888888
2026-02-02,35,21,-2.2222222222222223
2026-02-03,43,21,0
2026-02-04,39,30,1.3888888888888888
2026-02-05,35,20,-2.5
2026-02-06,33,18,-3.611111111111111
2026-02-07,34,17,-3.611111111111111
2026-02-08,25,14,-6.944444444444445
2026-02-09,34,15,-4.166666666666667
2026-02-10,46,29,3.0555555555555554
2026-02-11,48,36,5.555555555555555
2026-02-12,38,30,1.1111111111111112
2026-02-13,38,26,0
2026-02-14,57,26,5.277777777777778
2026-02-15,47,34,4.722222222222222
2026-02-16,46,36,5
2026-02-17,48,35,5.277777777777778
2026-02-18,51,36,6.388888888888888
2026-02-19,44,35,4.166666666666667
2026-02-20,54,37,7.5
2026-02-21,55,37,7.777777777777778
2026-02-22,40,33,2.5
2026-02-23,42,32,2.7777777777777777
2026-02-24,40,27,0.8333333333333333
2026-02-25,55,35,7.222222222222222
2026-02-26,51,38,6.944444444444445
2026-02-27,57,32,6.944444444444445
2026-02-28,65,36,10.277777777777777
2026-03-01,56,39,8.61111111111111
2026-03-02,39,31,1.6666666666666665
2026-03-03,43,32,3.0555555555555554
2026-03-04,52,43,8.61111111111111
2026-03-05,59,45,11.11111111111111
2026-03-06,51,44,8.61111111111111
2026-03-07,64,41,11.38888888888889
2026-03-08,76,52,17.77777777777778
2026-03-09,76,44,15.555555555555555
2026-03-10,84,47,18.61111111111111
2026-03-11,86,58,22.22222222222222
2026-03-12,78,33,13.055555555555555
2026-03-13,56,32,6.666666666666666
2026-03-14,61,48,12.5
2026-03-15,60,53,13.61111111111111
2026-03-16,71,31,10.555555555555555
2026-03-17,41,26,0.8333333333333333
2026-03-18,43,31,2.7777777777777777
2026-03-19,56,38,8.333333333333334
2026-03-20,61,46,11.944444444444445
2026-03-21,65,39,11.11111111111111
2026-03-22,56,36,7.777777777777778
2026-03-23,55,37,7.777777777777778
2026-03-24,48,36,5.555555555555555
2026-03-25,51,40,7.5
2026-03-26,55,41,8.88888888888889
2026-03-27,53,34,6.388888888888888
2026-03-28,49,40,6.944444444444445
2026-03-29,53,37,7.222222222222222
2026-03-30,52,41,8.055555555555555
2026-03-31,58,47,11.38888888888889
2026-04-01,66,48,13.88888888888889
2026-04-02,68,50,15
2026-04-03,69,50,15.277777777777777
2026-04-04,67,49,14.444444444444445
2026-04-05,68,50,15
2026-04-06,69,50,15.277777777777777
2026-04-07,67,49,14.444444444444445
2026-04-08,67,49,14.444444444444445
2026-04-09,66,48,13.88888888888889
2026-04-10,66,45,13.055555555555555
2026-04-11,58,40,9.444444444444445
2026-04-12,57,41,9.444444444444445
2026-04-13,58,40,9.444444444444445
2026-04-14,59,47,11.666666666666666
2026-04-15,64,42,11.666666666666666
2026-04-16,59,40,9.722222222222221
2026-04-17,60,41,10.277777777777777
2026-04-18,59,41,10
2026-04-19,60,43,10.833333333333334
2026-04-20,62,49,13.055555555555555
2026-04-21,62,52,13.88888888888889
2026-04-22,70,52,16.11111111111111
2026-04-23,70,48,15
2026-04-24,65,49,13.88888888888889
2026-04-25,72,45,14.722222222222221
2026-04-26,64,50,13.88888888888889
2026-04-27,66,50,14.444444444444445
2026-04-28,64,45,12.5
2026-04-29,63,46,12.5
2026-04-30,69,53,16.11111111111111
2026-05-01,74,47,15.833333333333332
2026-05-02,69,50,15.277777777777777
2026-05-03,71,48,15.277777777777777
2026-05-04,68,46,13.88888888888889
2026-05-05,69,52,15.833333333333332
