date,tmax,tmin,tavg
2026-02-01,27,14,-6.388888888888888
2026-02-02,35,21,-2.2222222222222223
2026-02-03,43,21,0
2026-02-04,39,30,1.3888888888888888
2026-02-05,35,20,-2.5
2026-02-06,33,18,-3.611111111111111
2026-02-07,34,17,-3.611111111111111
2026-02-08,25,14,-6.944444444444445
2026-02-09,34,15,-4.166666666666667
2026-02-10,46,29,3.0555555555555554
2026-02-11,48,36,5.555555555555555
2026-02-12,38,30,1.1111111111111112
2026-02-13,38,26,0
2026-02-14,57,26,5.277777777777778
2026-02-15,47,34,4.722222222222222
2026-02-16,46,36,5
2026-02-17,48,35,5.277777777777778
2026-02-18,51,36,6.388888888888888
2026-02-19,44,35,4.166666666666667
2026-02-20,54,37,7.5
2026-02-21,55,37,7.777777777777778
2026-02-22,40,33,2.5
2026-02-23,42,32,2.7777777777777777
2026-02-24,40,27,0.8333333333333333
2026-02-25,55,35,7.222222222222222
2026-02-26,51,38,6.944444444444445
2026-02-27,57,32,6.944444444444445
2026-02-28,65,36,10.277777777777777
2026-03-01,56,39,8.61111111111111
2026-03-02,39,31,1.6666666666666665
2026-03-03,43,32,3.0555555555555554
2026-03-04,52,43,8.61111111111111
2026-03-05,59,45,11.11111111111111
2026-03-06,51,44,8.61111111111111
2026-03-07,64,41,11.38888888888889
2026-03-08,76,52,17.77777777777778
2026-03-09,76,44,15.555555555555555
2026-03-10,84,47,18.61111111111111
2026-03-11,83,44,17.5
2026-03-12,56,30,6.111111111111111
2026-03-13,60,42,10.555555555555555
2026-03-14,57,38,8.61111111111111
2026-03-15,59,56,14.166666666666666
2026-03-16,60,30,7.222222222222222
2026-03-17,53,35,6.666666666666666
2026-03-18,46,33,4.166666666666667
2026-03-19,51,40,7.5
2026-03-20,57,40,9.166666666666666
2026-03-21,59,41,10
2026-03-22,56,40,8.88888888888889
2026-03-23,58,46,11.11111111111111
2026-03-24,65,37,10.555555555555555
2026-03-25,51,32,5.277777777777778
2026-03-26,52,36,6.666666666666666
2026-03-27,57,45,10.555555555555555
2026-03-28,63,46,12.5
2026-03-29,65,46,13.055555555555555
2026-03-30,63,43,11.666666666666666
2026-03-31,61,44,11.38888888888889
2026-04-01,56,44,10
2026-04-02,55,46,10.277777777777777
2026-04-03,63,42,11.38888888888889
2026-04-04,57,36,8.055555555555555
2026-04-05,55,46,10.277777777777777
2026-04-06,63,42,11.38888888888889
2026-04-07,57,36,8.055555555555555
2026-04-08,55,36,7.5
2026-04-09,56,44,10
2026-04-10,67,50,14.722222222222221
2026-04-11,60,47,11.944444444444445
2026-04-12,62,48,12.777777777777777
2026-04-13,59,49,12.222222222222221
2026-04-14,63,50,13.61111111111111
2026-04-15,69,50,15.277777777777777
2026-04-16,71,45,14.444444444444445
2026-04-17,60,41,10.277777777777777
2026-04-18,60,40,10
2026-04-19,61,41,10.555555555555555
2026-04-20,63,46,12.5
2026-04-21,67,52,15.277777777777777
2026-04-22,71,51,16.11111111111111
2026-04-23,64,44,12.222222222222221
2026-04-24,62,43,11.38888888888889
2026-04-25,64,47,13.055555555555555
2026-04-26,68,55,16.38888888888889
2026-04-27,66,49,14.166666666666666
2026-04-28,67,45,13.333333333333332
2026-04-29,66,45,13.055555555555555
2026-04-30,67,46,13.61111111111111
2026-05-01,68,52,15.555555555555555
2026-05-02,69,54,16.38888888888889
2026-05-03,69,48,14.722222222222221
2026-05-04,70,48,15
2026-05-05,71,54,16.944444444444443
